raw_text,mechanism_class,target,modality,confidence,notes
insulin glulisine,Insulin,INSR,protein/enzyme therapy,0.99,rapid-acting insulin analogue (Apidra)
insulin aspart,Insulin,INSR,protein/enzyme therapy,0.99,rapid-acting insulin analogue (NovoLog)
insulin lispro,Insulin,INSR,protein/enzyme therapy,0.99,rapid-acting insulin analogue (Humalog)
insulin,Insulin,INSR,protein/enzyme therapy,0.90,generic class name
basal insulin,Insulin,INSR,protein/enzyme therapy,0.85,class-level name; long-acting type
injectable insulin,Insulin,INSR,protein/enzyme therapy,0.85,route-level name
detemir,Insulin,INSR,protein/enzyme therapy,0.99,long-acting insulin analogue (Levemir)
insulin detemir,Insulin,INSR,protein/enzyme therapy,0.99,full INN for detemir
degludec,Insulin,INSR,protein/enzyme therapy,0.99,ultra-long-acting insulin analogue (Tresiba)
insulin degludec,Insulin,INSR,protein/enzyme therapy,0.99,full INN for degludec
insulin icodec,Insulin,INSR,protein/enzyme therapy,0.99,once-weekly insulin analogue
nph insulin,Insulin,INSR,protein/enzyme therapy,0.99,intermediate-acting insulin (isophane)
regular insulin,Insulin,INSR,protein/enzyme therapy,0.99,short-acting human insulin
regular human insulin,Insulin,INSR,protein/enzyme therapy,0.99,short-acting human insulin
humulin-r,Insulin,INSR,protein/enzyme therapy,0.99,Lilly brand regular insulin
technosphere insulin,Insulin,INSR,protein/enzyme therapy,0.99,inhaled insulin; MannKind
technosphere insulin inhalation powder,Insulin,INSR,protein/enzyme therapy,0.99,inhaled insulin powder; MannKind
technosphere inhalation powder,Insulin,INSR,protein/enzyme therapy,0.95,likely Technosphere Insulin powder
human insulin inhalation powder,Insulin,INSR,protein/enzyme therapy,0.99,inhaled human insulin
afrezza,Insulin,INSR,protein/enzyme therapy,0.99,inhaled insulin brand; MannKind (Afrezza)
afrezza dose 1,Insulin,INSR,protein/enzyme therapy,0.99,Afrezza low-dose arm
afrezza dose 2,Insulin,INSR,protein/enzyme therapy,0.99,Afrezza higher-dose arm
humalog,Insulin,INSR,protein/enzyme therapy,0.99,Lilly brand insulin lispro
lantus,Insulin,INSR,protein/enzyme therapy,0.99,Sanofi brand insulin glargine U-100
lantus®,Insulin,INSR,protein/enzyme therapy,0.99,Sanofi brand insulin glargine (with trademark)
glimepiride,Sulfonylurea,KCNJ11,small molecule,0.99,INN; second-generation sulfonylurea
glipizide,Sulfonylurea,KCNJ11,small molecule,0.99,INN; second-generation sulfonylurea
glyburide,Sulfonylurea,KCNJ11,small molecule,0.99,INN (glibenclamide in Europe)
gliclazide,Sulfonylurea,KCNJ11,small molecule,0.99,INN; second-generation sulfonylurea
nateglinide,Meglitinide,ABCC8,small molecule,0.99,INN; short-acting insulin secretagogue
pioglitazone,PPAR agonist,PPARG,small molecule,0.99,INN; thiazolidinedione class
actos,PPAR agonist,PPARG,small molecule,0.99,Takeda brand name for pioglitazone
rosiglitazone,PPAR agonist,PPARG,small molecule,0.99,INN; thiazolidinedione class
acarbose,Alpha-glucosidase inhibitor,GBA,small molecule,0.99,INN; delays carbohydrate absorption
miglitol,Alpha-glucosidase inhibitor,GBA,small molecule,0.99,INN; alpha-glucosidase inhibitor
pramlintide,Amylin analog,IAPP,protein/enzyme therapy,0.99,INN; synthetic amylin (SymlinPen)
